Группы товара;Артикул;Наименование товара;;;Ед. измер.;Цена для корпоративных клиентов;Штук в упаковке;Вес;Штрих-код;;
;WB16954-1;AROMADOG Игрушка для собак BIG HEAD Мишка 12 см голубой;;;шт.;293,65;24;0,035;810831029190;;
;WB16954-4;AROMADOG Игрушка для собак BIG HEAD Слон 12 см розовый;;;шт.;293,65;24;0,037;818628020146;;
;WB16954-3;AROMADOG Игрушка для собак BIG HEAD Собачка 12 см сиреневая;;;шт.;293,65;24;0,037;818628020139;;
;WB16959-1;AROMADOG Игрушка для собак Мишка 20 см с 3 пищалками голубой;;;шт.;372,08;24;0,045;810831029077;;
;WB16951-1-PR;AROMADOG Игрушка для собак Мишка 6 см малый голубой;;;шт.;245,79;24;0,025;810831029039;;
;WB16955-1;AROMADOG Игрушка для собак Мишка с хвостом 25 см голубой;;;шт.;363,44;24;0,065;810831029237;;
;WB16951-4-PR;AROMADOG Игрушка для собак Слон 6 см малый розовый;;;шт.;245,79;24;0,025;810831029787;;
;WB16959-3;AROMADOG Игрушка для собак Собачка 20 см с 3 пищалками сиреневая;;;шт.;372,08;24;0,045;818628020122;;
;WB16951-3-PR;AROMADOG Игрушка для собак Собачка 6 см малая сиреневая;;;шт.;245,79;24;0,025;810831029770;;
;WB16955-3;AROMADOG Игрушка для собак Собачка с хвостом 25 см сиреневая;;;шт.;363,44;24;0,065;818628020115;;
      CANINE CLEAN;;;;;;;;;;;
;WB15422;CanineClean игрушка для собак Канат 25 см с нейлоновым мячом с ароматом мяты;;;шт.;278,66;24;0,16;818628023031;;
;WB15419;CanineClean игрушка для собак Канат большой 30 см с ароматом мяты;;;шт.;190,05;24;0,11;818628023000;;
;WB15418;CanineClean игрушка для собак Канат малый 20 см с ароматом мяты;;;шт.;72,64;24;0,03;818628022997;;
;WB15427;CanineClean игрушка для собак Канат с нейлоновым кольцом с ароматом мяты;;;шт.;369,07;24;0,27;818628023062;;
;WB15321;CanineClean игрушка для собак Косточка нейлон/синтетическая резина 19 см с ароматом мяты;;;шт.;182,68;24;0,1;818628021815;;
;WB15421;CanineClean игрушка для собак Мячик из каната 8 см с ароматом мяты;;;шт.;197,91;24;0,03;818628023024;;
;WB15434;CanineClean игрушка для собак Палочка синтетическая резина с канатом 25 см с ароматом мяты;;;шт.;202,33;24;0,11;818628022799;;
;WB15426;CanineClean игрушка для собак Регби и 2 кольца нейлон/синтетическая резина 39 см с ароматом мяты;;;шт.;348,95;24;0,19;818628021839;;
;WB15432;CanineClean игрушка для собак Регби синтетическая резина с канатом 25 см с ароматом мяты;;;шт.;157,96;24;0,06;818628021822 ;;
      PETPARK;;;;;;;;;;;
;WB19412;Petpark игрушка для собак Плетенка с двумя теннисными мячами 6 см;;;шт.;272,13;24;0,222;818628028272;;
;WB19410;Petpark игрушка для собак Плетенка с теннисным мячом 6 см;;;шт.;255,41;24;0,17;818628028258;;
;WB20342;Petpark игрушка для собак Плетенка с теннисным мячом и петлей 8 см;;;шт.;272,19;24;0,16;818628028265;;
      ИГРУШКИ ДЛЯ КОШЕК;;;;;;;;;;;
;WB23540;Feline Clean игрушка для кошек Dental Колечко прорезыватель с лентами, резина;;;шт.;168,68;4;0,025;810013453683;;
;WB23547;Feline Clean игрушка для кошек Dental Конфетка прорезыватель с лентами, резина;;;шт.;158,06;4;0,033;810013453706;;
;WB23550;Feline Clean игрушка для кошек Dental Мышка, хвост с перьями;;;шт.;302,98;4;0,03;810013453713;;
;WB23555;Feline Clean игрушка для кошек Dental Мячик из каната, ленты и перья;;;шт.;241,53;4;0,035;810013453737;;
;WB23542;Feline Clean игрушка для кошек Dental Рыбки, ленты и перья (2 шт.);;;шт.;185,74;4;0,015;810013453690;;
;WB23552;Feline Clean игрушка для кошек Dental Сова, хвост с перьями;;;шт.;191,26;4;0,013;810013453720;;
;TOY82190;Petpark дразнилка для кошек (сменные кисточки);;;шт.;311,99;3;0,071;810013453645;;
;TOY80962;Petpark дразнилка для кошек Мышки (сменные наконечники);;;шт.;300,58;3;0,07;810013453669;;
;WB154580;Petpark игрушка для кошек  Мячик светящийся, пластик;;;шт.;162,81;4;0,05;810013453652;;
;TOY81337;Petpark игрушка для кошек Christmas дразнилка, 5 сменных наконечников;;;шт.;305,47;3;0,071;810013453775 ;;
;TOY81342;Petpark игрушка для кошек Christmas Кудрявый слон;;;шт.;207,76;3;0,034;810013453782 ;;
;TOY19013003;Petpark игрушка для кошек Christmas Мышка Длинный хвост;;;шт.;124,80;3;0,034;810013453799;;
;TOY81336;Petpark игрушка для кошек Christmas Подарочный чулок (12шт. внутри);;;шт.;278,03;3;0,06;810013453768 ;;
;TOY81329;Petpark игрушка для кошек Christmas Птичка;;;шт.;141,91;3;0,034;810013453751 ;;
;TOY81327;Petpark игрушка для кошек Christmas Рыбки (3 шт.);;;шт.;181,73;3;0,034;810013453744 ;;
;TOY80959;Petpark игрушка для кошек Змейка;;;шт.;119,48;3;0,003;810013453676;;
;TOY82250;Petpark игрушка для кошек Мышки 2 шт.;;;шт.;162,59;3;0,032;810013453638;;
;TOY82251;Petpark игрушка для кошек Рыбки 3 шт;;;шт.;201,64;3;0,034;810013453621;;
   B.BRAUN;;;;;;;;;;;
      АНТИСЕПТИКИ И СРЕДСТВА ДЕЗИНФЕКЦИИ;;;;;;;;;;;
