;;Название категории в 1-с;База 1
;RU PUR DENTALIFE Single;;
12391019;12391832;PRO PLAN Cat д/чув пищев Индейка 10кг;5271,55
12372508;12391030;PRO PLAN д/кош ЧувПищ Ягненок 10кгRU;5271,55
;12391031;PRO PLAN Cat Элегант д\шер. Лосось 10кг;5271,55
;12395536;PRO PLAN Cat д/котят чув пищев инд 10кг;5425,10
12369479;12391017;PRO PLAN Cat д/котят Куриц 10кг XE;5478,80
12338053;12391833;PRO PLAN STRLS Cat Rbt 10kg PR+2kg N1 XE;5271,55
12337838;12391834;PRO PLAN д/стерил/кош Лосось 12кгPR+2кгXE;5271,55
12333655;12353661;PRO PLAN д/стерил/кош/Индей 12кгPR+2кгXE;5271,55
;12391816;PRPN Cat д/котят чув пищ Инд 12кг 10+2кг;5478,80
;RU PUR ProPlan Dry Cat 7kg;;0,00
;12392559;PRO PLAN Cat д/котят Куриц 7кг RU;4103,46
;12392645;PRO PLAN Cat д/котят чув пищев Инд 7кгRU;4103,46
12392650;12401968;PRO PLAN Cat д/чув пищев Индейка 7кг RU;3987,32
;12392652;PRO PLAN Cat д/взр Курица 7кг RU;3563,39
;12392651;PRO PLAN Cat д/чув пищев Ягненок 7кг RU;3987,32
12392617;12401971;PRO PLAN Cat д/стерилиз Индейка 7кг RU;3987,32
12392618;12401966;PRO PLAN Cat д/стерилиз Кролик 7кг RU;3987,32
12392619;12401967;PRO PLAN Cat д/стерилиз Лосось 7кг RU;3987,32
;RU PUR ProPlan Dry Cat LiveClear;;0,00
;12424837;PRO PLAN LIVECLEAR Cat StrlsTky4x2,8kgRU;2568,05
;12424870;PRO PLAN LiveClear Ktn Dte Trky6x1,4kgRU;1373,17
;12425127;PRO PLAN LIVECLEAR StrlsAdt Smn6x1,4kgRU;1373,17
;12425107;PRO PLAN LiveClearStrlsAdtTrky6x1,4kgRU;1373,17
;12425128;PRPN Live Clear Strls Adt7+Trky6x1,4kgRU;1373,17
;RU PUR PVD Dry Cat 1.5kg;;0,00
;12278417;PPVD FELINE DH 4x1kg RU;877,05
;12382617;PPVD д/кош HP при забол.печени 4x1.5кг m;1477,80
;12381563;PPVD FELINE DM 4x1.5kg RU;1423,53
;12382848;PPVD FELINE EN 4x1.5kg RU;1437,74
;12382618;PPVD FELINE HA 4x1.3kg N1 RU;1433,06
12382830;12274444;PPVD FELINE NF 4x1.5kg RU;1449,38
;12382837;PPVD FELINE OM 4x1.5kg RU;1449,38
12382843;12274496;PPVD FELINE UR Chicken 4x1.5kg RU;1237,87
;12382615;PPVD FELINE UR Ocean Fish 4x1.5kg RU;1237,87
;12440049;PPVD FELINE UR Chkn 6(1.5kg+3x85g)PRRU;1237,87
;12439930;PPVD FELINE EN Chkn 6(1.5kg+3x85g)PRRU;1437,74
;RU PUR PVD Dry Cat 325-400g;;0,00
;12382818;PPVD FELINE NF 6x350g RU;394,85
;12381567;PPVD FELINE EN 6x400g RU;425,83
;12382834;PPVD FELINE OM 6x350g RU;394,85
12274134;12381565;PPVD FELINE HA 6x325g RU;429,81
;12382840;PPVD FELINE UR Chicken 6x350g RU;377,32
12274133;12382846;PPVD FELINE UR Ocean Fish 6x350g RU;377,32
;RU PUR PVD FORTIFLORA 30g;;0,00
;12274698;PPVD д/кош кормДобавка 30x1г;1507,73
;12274760;PPVD д/соб кормДобавка 30x1г;1507,73
;RU PUR PVD Wet Cat 195g;;0,00
;12381645;PPVD CANINE & FELINE CN Mse 195g (24) N1 RU;141,90
12381678;12275696;PPVD FELINE DM Mousse 24x195g RU;150,42
;12381646;PPVD FELINE EN Mousse 24x195g RU;150,42
;12381647;PPVD FELINE NF Mousse 24x195g RU;150,42
;12381644;PPVD FELINE UR Mousse Turkey 24x195g RU;150,42
;RU PUR PVD Wet Cat Vet 85g;;0,00
;12381676;PPVD д/к пауч EN п/нар.пищ.Лос 4(10x85г);71,08
;12381675;PPVD д/к пауч EN п/нар.пищ.Кур 4(10x85г);71,08
12308817;12381672;PPVD FELINE DM CiG Beef 4(10x85g) RU;71,08
;12278222;PPVD д/к пауч DM при диабете.кур 10x85г;71,08
12381674;12308819;PPVD д/к пауч OM при ожирении Кур 10x85г;71,08
;12278375;PPVD д/к пауч NF при заб.поч.кур 10x85г;71,08
;12278452;PPVD д/к пауч NF при заб.поч.лос 10x85г;71,08
12308818;12381673;PPVD FELINE UR CiG Chicken 85г (4*10) RU;71,08
12308816;12381671;PPVD FELINE UR CiG Salmon 4(10x85g) RU;71,08
;12439763;PPVD Кош Заб Моч Сист Курица (5x85г)PRRU;284,29
;12439764;PPVD Кош Наруш Пищ Курица (5x85г)PRRU;284,29
;DOG CHOW;;0,00
;RU PUR Dog Chow 14kg;;0,00
12308572;12364513;DOG CHOW Д/взр/соб Ягненок 14кг N3 RU;2317,17
;12364396;DOG CHOW Д/взр/соб Курица 14кг N2 RU;2317,17
12308566;12364496;DOG CHOW SENSITIVE Salmon 14kg N2 RU;2558,13
;12308571;DOG CHOW Д/взр/соб Курица 14kg N1 RU;2317,17
;12364488;DOG CHOW ACTIVE Chicken 14kg N2 RU;2558,13
12308568;12364863;DOG CHOW Д/ВзрСоб Круп/Пор Инд 14кгN2RU;2558,13
12308570;12364493;DOG CHOW д/взр/соб/5 лет Ягн 14кг N3 RU;2317,17
;12308569;DOG CHOW д/взр/соб от 5 лет Кур 14kg N1;2317,17
;12364491;DOG CHOW д/стар/соб/9лет Ягненок 14kg N2 RU RU;2558,13
;12364494;DOG CHOW Д/Щен Курица 14kg N1 RU;2558,13
12308575;12364495;DOG CHOW Д/щен Ягненок 14кг N3 RU;2558,13
12308573;12364492;DOG CHOW Д/щен крупн/пор Инд 14кгN2RU;2558,13
;RU PUR Dog Chow 2.5kg;;0,00
12308781;12364517;DOG CHOW д/взр/соб от 5 лет Ягн4х2.5кгRU;532,67
;12364512;DOG CHOW д/стар/соб/9летЯгн 4x2.5kgN2 RU;587,41
;12364519;DOG CHOW д/взр/соб Ягн 4x2.5кг N2 RU;532,67
12308786;12364530;DOG CHOW д/взр/соб Цыпл 2.5кг (4) N1 RU;532,67
;12364866;DOG CHOW д/взр соб мелк/пор Кур4x2.5kgRU;612,58
;12364511;DOG CHOW SENSITIVE Salmon 4x2.5kg N2 RU;587,41
12364518;12308767;DOG CHOW ADULT LARGE BREED Trky4x2.5kgRU;587,41
12364510;12364516;DOG CHOW PUPPY Chicken 4x2.5kg RU;587,41
